year,month,last,party
1985,Jul,Reagan,Republican
1985,Aug,Reagan,Republican
1985,Sep,Reagan,Republican
1985,Oct,Reagan,Republican
1985,Nov,Reagan,Republican
1985,Dec,Reagan,Republican
1986,Jan,Reagan,Republican
1986,Feb,Reagan,Republican
1986,Mar,Reagan,Republican
1986,Apr,Reagan,Republican
1986,May,Reagan,Republican
1986,Jun,Reagan,Republican
1986,Jul,Reagan,Republican
1986,Aug,Reagan,Republican
1986,Sep,Reagan,Republican
1986,Oct,Reagan,Republican
1986,Nov,Reagan,Republican
1986,Dec,Reagan,Republican
1987,Jan,Reagan,Republican
1987,Feb,Reagan,Republican
1987,Mar,Reagan,Republican
1987,Apr,Reagan,Republican
1987,May,Reagan,Republican
1987,Jun,Reagan,Republican
1987,Jul,Reagan,Republican
1987,Aug,Reagan,Republican
1987,Sep,Reagan,Republican
1987,Oct,Reagan,Republican
1987,Nov,Reagan,Republican
1987,Dec,Reagan,Republican
1988,Jan,Reagan,Republican
1988,Feb,Reagan,Republican
1988,Mar,Reagan,Republican
1988,Apr,Reagan,Republican
1988,May,Reagan,Republican
1988,Jun,Reagan,Republican
1988,Jul,Reagan,Republican
1988,Aug,Reagan,Republican
1988,Sep,Reagan,Republican
1988,Oct,Reagan,Republican
1988,Nov,Reagan,Republican
1988,Dec,Reagan,Republican
1989,Jan,G. Bush,Republican
1989,Feb,G. Bush,Republican
1989,Mar,G. Bush,Republican
1989,Apr,G. Bush,Republican
1989,May,G. Bush,Republican
1989,Jun,G. Bush,Republican
1989,Jul,G. Bush,Republican
1989,Aug,G. Bush,Republican
1989,Sep,G. Bush,Republican
1989,Oct,G. Bush,Republican
1989,Nov,G. Bush,Republican
1989,Dec,G. Bush,Republican
1990,Jan,G. Bush,Republican
1990,Feb,G. Bush,Republican
1990,Mar,G. Bush,Republican
1990,Apr,G. Bush,Republican
1990,May,G. Bush,Republican
1990,Jun,G. Bush,Republican
1990,Jul,G. Bush,Republican
1990,Aug,G. Bush,Republican
1990,Sep,G. Bush,Republican
1990,Oct,G. Bush,Republican
1990,Nov,G. Bush,Republican
1990,Dec,G. Bush,Republican
1991,Jan,G. Bush,Republican
1991,Feb,G. Bush,Republican
1991,Mar,G. Bush,Republican
1991,Apr,G. Bush,Republican
1991,May,G. Bush,Republican
1991,Jun,G. Bush,Republican
1991,Jul,G. Bush,Republican
1991,Aug,G. Bush,Republican
1991,Sep,G. Bush,Republican
1991,Oct,G. Bush,Republican
1991,Nov,G. Bush,Republican
1991,Dec,G. Bush,Republican
1992,Jan,G. Bush,Republican
1992,Feb,G. Bush,Republican
1992,Mar,G. Bush,Republican
1992,Apr,G. Bush,Republican
1992,May,G. Bush,Republican
1992,Jun,G. Bush,Republican
1992,Jul,G. Bush,Republican
1992,Aug,G. Bush,Republican
1992,Sep,G. Bush,Republican
1992,Oct,G. Bush,Republican
1992,Nov,G. Bush,Republican
1992,Dec,G. Bush,Republican
1993,Jan,Clinton,Democrat
1993,Feb,Clinton,Democrat
1993,Mar,Clinton,Democrat
1993,Apr,Clinton,Democrat
1993,May,Clinton,Democrat
1993,Jun,Clinton,Democrat
1993,Jul,Clinton,Democrat
1993,Aug,Clinton,Democrat
1993,Sep,Clinton,Democrat
1993,Oct,Clinton,Democrat
1993,Nov,Clinton,Democrat
1993,Dec,Clinton,Democrat
1994,Jan,Clinton,Democrat
1994,Feb,Clinton,Democrat
1994,Mar,Clinton,Democrat
1994,Apr,Clinton,Democrat
1994,May,Clinton,Democrat
1994,Jun,Clinton,Democrat
1994,Jul,Clinton,Democrat
1994,Aug,Clinton,Democrat
1994,Sep,Clinton,Democrat
1994,Oct,Clinton,Democrat
1994,Nov,Clinton,Democrat
1994,Dec,Clinton,Democrat
1995,Jan,Clinton,Democrat
1995,Feb,Clinton,Democrat
1995,Mar,Clinton,Democrat
1995,Apr,Clinton,Democrat
1995,May,Clinton,Democrat
1995,Jun,Clinton,Democrat
1995,Jul,Clinton,Democrat
1995,Aug,Clinton,Democrat
1995,Sep,Clinton,Democrat
1995,Oct,Clinton,Democrat
1995,Nov,Clinton,Democrat
1995,Dec,Clinton,Democrat
1996,Jan,Clinton,Democrat
1996,Feb,Clinton,Democrat
1996,Mar,Clinton,Democrat
1996,Apr,Clinton,Democrat
1996,May,Clinton,Democrat
1996,Jun,Clinton,Democrat
1996,Jul,Clinton,Democrat
1996,Aug,Clinton,Democrat
1996,Sep,Clinton,Democrat
1996,Oct,Clinton,Democrat
1996,Nov,Clinton,Democrat
1996,Dec,Clinton,Democrat
1997,Jan,Clinton,Democrat
1997,Feb,Clinton,Democrat
1997,Mar,Clinton,Democrat
1997,Apr,Clinton,Democrat
1997,May,Clinton,Democrat
1997,Jun,Clinton,Democrat
1997,Jul,Clinton,Democrat
1997,Aug,Clinton,Democrat
1997,Sep,Clinton,Democrat
1997,Oct,Clinton,Democrat
1997,Nov,Clinton,Democrat
1997,Dec,Clinton,Democrat
1998,Jan,Clinton,Democrat
1998,Feb,Clinton,Democrat
1998,Mar,Clinton,Democrat
1998,Apr,Clinton,Democrat
1998,May,Clinton,Democrat
1998,Jun,Clinton,Democrat
1998,Jul,Clinton,Democrat
1998,Aug,Clinton,Democrat
1998,Sep,Clinton,Democrat
1998,Oct,Clinton,Democrat
1998,Nov,Clinton,Democrat
1998,Dec,Clinton,Democrat
1999,Jan,Clinton,Democrat
1999,Feb,Clinton,Democrat
1999,Mar,Clinton,Democrat
1999,Apr,Clinton,Democrat
1999,May,Clinton,Democrat
1999,Jun,Clinton,Democrat
1999,Jul,Clinton,Democrat
1999,Aug,Clinton,Democrat
1999,Sep,Clinton,Democrat
1999,Oct,Clinton,Democrat
1999,Nov,Clinton,Democrat
1999,Dec,Clinton,Democrat
2000,Jan,Clinton,Democrat
2000,Feb,Clinton,Democrat
2000,Mar,Clinton,Democrat
2000,Apr,Clinton,Democrat
